出口国,经度,纬度,进口国,经度,纬度,贸易量（万吨）
印度尼西亚,105.957125,-6.009983,日本,131.600000,33.233333,6 
印度,80.126953,14.250783,阿联酋,54.386400,24.535661,21 
印度,80.126953,14.250783,阿根廷,-60.328144,-33.220833,7 
印度,80.126953,14.250783,孟加拉,89.590833,22.490556,11 
印度,80.126953,14.250783,巴林,50.711972,26.188528,17 
印度,80.126953,14.250783,巴西,-44.383333,-2.566667,22 
印度,80.126953,14.250783,中国,118.500000,38.933333,672 
印度,80.126953,14.250783,埃及,29.870714,31.189086,93 
印度,80.126953,14.250783,印度尼西亚,105.957125,-6.009983,21 
印度,80.126953,14.250783,伊朗,56.204903,27.143853,6 
印度,80.126953,14.250783,日本,131.600000,33.233333,133 
印度,80.126953,14.250783,肯尼亚,39.644103,-4.047125,6 
印度,80.126953,14.250783,韩国,127.750000,34.900000,91 
印度,80.126953,14.250783,科特迪瓦,-4.013392,5.270269,15 
印度,80.126953,14.250783,墨西哥,-102.166700,17.916700,17 
印度,80.126953,14.250783,马来西亚,100.616667,4.151944,8 
印度,80.126953,14.250783,莫桑比克,32.566667,-25.983333,39 
印度,80.126953,14.250783,荷兰,4.073153,51.973264,60 
印度,80.126953,14.250783,阿曼,56.616667,24.500000,19 
印度,80.126953,14.250783,巴基斯坦,66.977189,24.806669,2 
印度,80.126953,14.250783,波兰,18.719658,54.405214,9 
印度,80.126953,14.250783,卡塔尔,51.558608,25.301622,6 
印度,80.126953,14.250783,罗马尼亚,28.650000,44.166700,5 
印度,80.126953,14.250783,沙特阿拉伯,49.683333,27.016667,11 
印度,80.126953,14.250783,新加坡,103.833333,1.366667,11 
印度,80.126953,14.250783,斯洛文尼亚,13.733333,45.550000,9 
印度,80.126953,14.250783,泰国,100.824942,13.139208,18 
印度,80.126953,14.250783,中国台湾,120.321111,22.563611,9 
印度,80.126953,14.250783,英国,-3.805300,51.574417,20 
印度,80.126953,14.250783,美国,-118.266667,33.716667,14 
印度,80.126953,14.250783,越南,106.683300,20.866700,27 
印度,80.126953,14.250783,南非,17.966667,-33.033333,55 
伊朗,56.204903,27.143853,阿联酋,54.386400,24.535661,16 
伊朗,56.204903,27.143853,孟加拉,89.590833,22.490556,14 
伊朗,56.204903,27.143853,中国,118.500000,38.933333,703 
伊朗,56.204903,27.143853,埃及,29.870714,31.189086,6 
伊朗,56.204903,27.143853,印度,80.126953,14.250783,104 
伊朗,56.204903,27.143853,日本,131.600000,33.233333,6 
伊朗,56.204903,27.143853,肯尼亚,39.644103,-4.047125,16 
伊朗,56.204903,27.143853,韩国,127.750000,34.900000,6 
伊朗,56.204903,27.143853,阿曼,56.616667,24.500000,59 
伊朗,56.204903,27.143853,卡塔尔,51.558608,25.301622,2 
伊朗,56.204903,27.143853,俄罗斯,39.932867,43.411539,8 
伊朗,56.204903,27.143853,沙特阿拉伯,49.683333,27.016667,3 
伊朗,56.204903,27.143853,新加坡,103.833333,1.366667,7 
伊朗,56.204903,27.143853,泰国,100.824942,13.139208,36 
伊朗,56.204903,27.143853,美国,-118.266667,33.716667,8 
伊朗,56.204903,27.143853,乌拉圭,-58.424389,-33.880725,16 
伊朗,56.204903,27.143853,越南,106.683300,20.866700,2 
毛里塔尼亚,-17.036250,20.814442,中国,118.500000,38.933333,863 
毛里塔尼亚,-17.036250,20.814442,法国,2.343039,51.054903,41 
毛里塔尼亚,-17.036250,20.814442,意大利,17.200000,40.450000,100 
毛里塔尼亚,-17.036250,20.814442,日本,131.600000,33.233333,68 
毛里塔尼亚,-17.036250,20.814442,荷兰,4.073153,51.973264,124 
毛里塔尼亚,-17.036250,20.814442,新加坡,103.833333,1.366667,17 
毛里塔尼亚,-17.036250,20.814442,美国,-118.266667,33.716667,7 
墨西哥,-102.166700,17.916700,巴林,50.711972,26.188528,16 
墨西哥,-102.166700,17.916700,巴西,-44.383333,-2.566667,9 
墨西哥,-102.166700,17.916700,加拿大,-66.783300,50.033300,9 
墨西哥,-102.166700,17.916700,中国,118.500000,38.933333,95 
墨西哥,-102.166700,17.916700,法国,2.343039,51.054903,15 
墨西哥,-102.166700,17.916700,韩国,127.750000,34.900000,9 
墨西哥,-102.166700,17.916700,秘鲁,-75.233333,-15.233333,51 
墨西哥,-102.166700,17.916700,俄罗斯,39.932867,43.411539,5 
墨西哥,-102.166700,17.916700,特尼尼达和多巴哥,-61.479928,10.316594,7 
墨西哥,-102.166700,17.916700,美国,-118.266667,33.716667,74 
墨西哥,-102.166700,17.916700,乌拉圭,-58.424389,-33.880725,6 
马来西亚,100.616667,4.151944,比利时,3.766667,51.116667,5 
马来西亚,100.616667,4.151944,中国,118.500000,38.933333,2878 
马来西亚,100.616667,4.151944,法国,2.343039,51.054903,7 
马来西亚,100.616667,4.151944,印度尼西亚,105.957125,-6.009983,18 
马来西亚,100.616667,4.151944,印度,80.126953,14.250783,22 
马来西亚,100.616667,4.151944,日本,131.600000,33.233333,8 
马来西亚,100.616667,4.151944,韩国,127.750000,34.900000,6 
马来西亚,100.616667,4.151944,荷兰,4.073153,51.973264,17 
马来西亚,100.616667,4.151944,阿曼,56.616667,24.500000,313 
马来西亚,100.616667,4.151944,沙特阿拉伯,49.683333,27.016667,14 
马来西亚,100.616667,4.151944,泰国,100.824942,13.139208,23 
马来西亚,100.616667,4.151944,越南,106.683300,20.866700,79 
莫桑比克,32.566667,-25.983333,孟加拉,89.590833,22.490556,6 
莫桑比克,32.566667,-25.983333,中国,118.500000,38.933333,417 
莫桑比克,32.566667,-25.983333,日本,131.600000,33.233333,3 
莫桑比克,32.566667,-25.983333,新加坡,103.833333,1.366667,5 
莫桑比克,32.566667,-25.983333,美国,-118.266667,33.716667,6 
莫桑比克,32.566667,-25.983333,越南,106.683300,20.866700,6 
挪威,17.416667,68.416667,比利时,3.766667,51.116667,34 
挪威,17.416667,68.416667,圣巴茨,-62.853503,17.902303,33 
挪威,17.416667,68.416667,加拿大,-66.783300,50.033300,3 
挪威,17.416667,68.416667,中国,118.500000,38.933333,17 
挪威,17.416667,68.416667,德国,9.933333,53.533333,398 
挪威,17.416667,68.416667,埃及,29.870714,31.189086,90 
挪威,17.416667,68.416667,法国,2.343039,51.054903,25 
挪威,17.416667,68.416667,荷兰,4.073153,51.973264,380 
挪威,17.416667,68.416667,阿曼,56.616667,24.500000,20 
挪威,17.416667,68.416667,卡塔尔,51.558608,25.301622,69 
挪威,17.416667,68.416667,沙特阿拉伯,49.683333,27.016667,157 
挪威,17.416667,68.416667,土耳其,36.188403,36.599597,157 
挪威,17.416667,68.416667,特尼尼达和多巴哥,-61.479928,10.316594,5 
挪威,17.416667,68.416667,英国,-3.805300,51.574417,129 
挪威,17.416667,68.416667,美国,-118.266667,33.716667,63 
新西兰,174.700000,-38.183300,中国,118.500000,38.933333,252 
秘鲁,-75.233333,-15.233333,中国,118.500000,38.933333,1449 
秘鲁,-75.233333,-15.233333,厄瓜多尔,-80.900000,-2.216667,17 
秘鲁,-75.233333,-15.233333,日本,131.600000,33.233333,66 
秘鲁,-75.233333,-15.233333,科特迪瓦,-4.013392,5.270269,4 
菲律宾,125.500056,9.781017,中国,118.500000,38.933333,327 
菲律宾,125.500056,9.781017,越南,106.683300,20.866700,11 
瑞典,22.289331,65.544486,圣巴茨,-62.853503,17.902303,19 
瑞典,22.289331,65.544486,中国,118.500000,38.933333,8 
瑞典,22.289331,65.544486,德国,9.933333,53.533333,74 
瑞典,22.289331,65.544486,埃及,29.870714,31.189086,9 
瑞典,22.289331,65.544486,芬兰,24.411908,64.659450,2 
瑞典,22.289331,65.544486,法国,2.343039,51.054903,5 
瑞典,22.289331,65.544486,日本,131.600000,33.233333,8 
瑞典,22.289331,65.544486,荷兰,4.073153,51.973264,15 
瑞典,22.289331,65.544486,罗马尼亚,28.650000,44.166700,7 
瑞典,22.289331,65.544486,土耳其,36.188403,36.599597,29 
瑞典,22.289331,65.544486,英国,-3.805300,51.574417,52 
塞拉利昂,-13.212408,8.494067,中国,118.500000,38.933333,86 
塞拉利昂,-13.212408,8.494067,埃及,29.870714,31.189086,3 
塞拉利昂,-13.212408,8.494067,法国,2.343039,51.054903,7 
塞拉利昂,-13.212408,8.494067,加纳,0.010864,5.626594,6 
塞拉利昂,-13.212408,8.494067,印度,80.126953,14.250783,5 
塞拉利昂,-13.212408,8.494067,科特迪瓦,-4.013392,5.270269,6 
塞拉利昂,-13.212408,8.494067,墨西哥,-102.166700,17.916700,4 
塞拉利昂,-13.212408,8.494067,莫桑比克,32.566667,-25.983333,3 
塞拉利昂,-13.212408,8.494067,挪威,10.416700,59.266700,6 
塞拉利昂,-13.212408,8.494067,罗马尼亚,28.650000,44.166700,22 
塞拉利昂,-13.212408,8.494067,泰国,100.824942,13.139208,6 
塞拉利昂,-13.212408,8.494067,美国,-118.266667,33.716667,10 
特尼尼达和多巴哥,-61.479928,10.316594,圣巴茨,-62.853503,17.902303,7 
特尼尼达和多巴哥,-61.479928,10.316594,巴西,-44.383333,-2.566667,69 
特尼尼达和多巴哥,-61.479928,10.316594,加拿大,-66.783300,50.033300,6 
特尼尼达和多巴哥,-61.479928,10.316594,智利,-70.883333,-27.050000,15 
特尼尼达和多巴哥,-61.479928,10.316594,中国,118.500000,38.933333,180 
特尼尼达和多巴哥,-61.479928,10.316594,哥伦比亚,-74.233056,11.067222,27 
特尼尼达和多巴哥,-61.479928,10.316594,古巴,-80.450000,22.033300,6 
特尼尼达和多巴哥,-61.479928,10.316594,埃及,29.870714,31.189086,5 
特尼尼达和多巴哥,-61.479928,10.316594,法国,2.343039,51.054903,3 
特尼尼达和多巴哥,-61.479928,10.316594,加蓬,9.501172,0.284733,3 
特尼尼达和多巴哥,-61.479928,10.316594,圭亚那,-57.516667,6.233333,3 
特尼尼达和多巴哥,-61.479928,10.316594,印度,80.126953,14.250783,18 
特尼尼达和多巴哥,-61.479928,10.316594,日本,131.600000,33.233333,68 
特尼尼达和多巴哥,-61.479928,10.316594,肯尼亚,39.644103,-4.047125,4 
特尼尼达和多巴哥,-61.479928,10.316594,科特迪瓦,-4.013392,5.270269,4 
特尼尼达和多巴哥,-61.479928,10.316594,荷兰,4.073153,51.973264,20 
特尼尼达和多巴哥,-61.479928,10.316594,波兰,18.719658,54.405214,10 
特尼尼达和多巴哥,-61.479928,10.316594,俄罗斯,39.932867,43.411539,4 
特尼尼达和多巴哥,-61.479928,10.316594,斯洛文尼亚,13.733333,45.550000,7 
特尼尼达和多巴哥,-61.479928,10.316594,中国台湾,120.321111,22.563611,8 
特尼尼达和多巴哥,-61.479928,10.316594,英国,-3.805300,51.574417,23 
特尼尼达和多巴哥,-61.479928,10.316594,美国,-118.266667,33.716667,109 
特尼尼达和多巴哥,-61.479928,10.316594,乌拉圭,-58.424389,-33.880725,3 
乌克兰,31.016667,46.600000,巴林,50.711972,26.188528,5 
乌克兰,31.016667,46.600000,中国,118.500000,38.933333,284 
乌克兰,31.016667,46.600000,德国,9.933333,53.533333,9 
乌克兰,31.016667,46.600000,埃及,29.870714,31.189086,13 
乌克兰,31.016667,46.600000,西班牙,-5.700000,43.566667,2 
乌克兰,31.016667,46.600000,克罗地亚,14.466158,44.535172,9 
乌克兰,31.016667,46.600000,意大利,17.200000,40.450000,7 
乌克兰,31.016667,46.600000,日本,131.600000,33.233333,103 
乌克兰,31.016667,46.600000,韩国,127.750000,34.900000,69 
乌克兰,31.016667,46.600000,科特迪瓦,-4.013392,5.270269,5 
